"year","region","life_expectancy_log_zscore","mortality_log_zscore","gdp_log_zscore","schooling_log_zscore"
2012,"Asia","1.1912312227325583","-0.39811229598110914","1.6238024241244073","0.7860073580465698"
2011,"Asia","1.199415873087199","-0.4114436676980443","1.6304899380735054","0.7643967176991825"
2010,"Asia","1.1830365851571474","-2.487653723125276","0.3648368227712185","0.7643967176991825"
2009,"Asia","1.1748319359576156","-2.487653723125276","1.5482548842797883","0.7426393560618397"
2008,"Asia","1.150157044572101","-0.35924759049551086","1.5733142665130417","0.7207336879153307"
2007,"Asia","1.1171157337600013","-0.33422732005907835","1.6422670914574988","0.6986772539655055"
2007,"Americas","0.39205213993104265","0.38689949352838743","-0.10157277014366795","0.19659297170113527"
2022,"Africa","-0.5258108015842189","0.7439966219777673","0.03105174277748597","-1.9764971966506355"
2021,"Africa","-0.5788988819546717","0.7847539348644871","-1.226401734009694","-1.9764971966506355"
2020,"Africa","-0.6109542653704321","0.7991350626967562","-0.042001220534958084","-1.9764971966506355"
2019,"Africa","-0.664722423789799","0.8237696170792322","-0.07129935292164342","-1.9764971966506355"
2018,"Africa","-0.7080492373805589","0.8409675405187795","-1.3300839396340887","-2.1870111426671426"
2017,"Africa","-0.762603617629746","0.8578475543082745","-0.1494785791162613","-2.412309740168151"
2016,"Africa","0.032031846244823456","0.8777001349630369","-0.17916692803802967","-2.531181966547613"
2015,"Africa","-0.6863508894125889","0.9098577797254577","-0.19596812083505338","-2.7181778641146277"
2014,"Africa","-0.9289772945023297","0.9317127688500734","-1.3155137641714172","-3.0562993882629903"
2013,"Africa","-1.0080518876607354","-0.9191240155062994","-0.31792373734981394","-3.202196474284483"
2012,"Africa","-1.0651092178738337","0.9971806008121734","-1.5512698279782098","-3.4342870934892513"
2011,"Africa","-1.1226554771958654","1.0198695379829632","-0.3772654262723523","-3.6844801634887014"
2010,"Africa","-1.1342239637957194","1.0170640588357593","-0.405060633853523","-3.8628142102555323"
2009,"Africa","-1.145812412976528","1.0085955337477344","-0.4235361742676371","-4.051644383598108"
2008,"Africa","-1.169049919481649","1.0114271104170058","-0.430973751975336","-4.46630875106188"
2007,"Africa","-1.2040574182974284","1.0170640588357593","-0.4398998696006733","-4.46630875106188"
2022,"Americas","0.49276510362012693","0.3230957074480793","0.6933124723400148","0.3972324975897761"
2021,"Americas","0.4654470638794965","0.3350329067657147","0.6766121475648077","0.3972324975897761"
2020,"Americas","0.447173570367055","0.3526511267653536","-0.5469199893385328","0.3972324975897761"
2019,"Americas","0.3271661178597508","0.4465349825004156","0.6505351074033842","0.3728280611948916"
2018,"Americas","0.4196690588458505","-1.7327451151215467","0.6315815058700404","0.3482363814565218"
2017,"Americas","0.38282049987598277","0.403553743774062","0.6023576591313305","0.3234548019700619"
2016,"Americas","0.4654470638794965","0.3526511267653536","0.5513127754645432","0.3234548019700619"
2015,"Americas","0.4380181435737798","0.3756254892931586","-0.656556994388045","0.29848060614461164"
2014,"Americas","0.40127040426289745","0.3924847265001117","0.517400430929343","0.2733102924155108"
2013,"Americas","0.3457693453555614","0.4672900291895092","0.4155484118260753","0.24794124394330694"
2012,"Americas","0.09981763654486296","-1.2217136342161246","0.3936206847292706","0.24794124394330694"
2011,"Americas","0.06116714296684869","0.635491409586115","0.17087879775866033","0.22236980585393698"
2010,"Americas","0.41047603236930463","-1.441938663048859","0.16000996112862687","0.19659297170113527"
2009,"Americas","0.26164776485062946","0.5220476304956415","-2.0247200109865044","0.17060766398858632"
2008,"Americas","0.24280971329966766","0.5172031483425871","0.25964694605990823","0.17060766398858632"
2007,"Americas","0.3178454990236611","0.4569714703148684","-0.9726791656859272","0.14440997932857705"
2022,"Americas","0.6985888879474828","0.09188158397969186","-0.5486162527783297","0.5860626709323508"
2021,"Americas","0.6809397191638307","0.11480787793298057","0.6902621901860513","0.5860626709323508"
2020,"Americas","0.6809397191638307","0.11480787793298057","-0.5085402187334273","0.445491802727249"
2019,"Americas","0.6366121179953741","0.15900276392534068","-0.5965886922656676","0.4214529789653463"
2018,"Americas","0.6187990980385416","0.18732077701114608","0.5795387591269687","0.3972324975897761"
2017,"Americas","0.5919899791108422","0.20799749606420373","0.5185435486040069","0.3728280611948916"
2016,"Americas","0.6009380214614065","0.2282163901516795","0.47066133472175514","0.3728280611948916"
2015,"Americas","0.5560774182295286","0.24145115433145362","0.473030060854241","0.3482363814565218"
2014,"Americas","0.5650734074223075","-1.8546836786707004","-0.8428205608460807","0.3234548019700619"
2013,"Americas","0.5380492068058137","0.27372245395906497","-0.879509461544943","0.29848060614461164"
2012,"Americas","0.5199717773937474","0.3170680766909568","-0.9021417340325203","0.29848060614461164"
2011,"Americas","0.5380492068058137","0.2987427243954975","-0.9783666866122623","0.2733102924155108"
2010,"Americas","0.5380492068058137","0.3170680766909568","-1.0474731547048803","0.24794124394330694"
2009,"Americas","0.4654470638794965","0.3526511267653536","0.11587401382243877","0.22236980585393698"
2008,"Americas","0.447173570367055","0.35844913192028555","-1.1715901993698492","0.19659297170113527"
2022,"Europe","0.5560774182295286","0.3290838124734157","1.0910626471171825","1.014589787698633"
2021,"Europe","0.5380492068058137","0.3468160734028523","1.1656539085958113","1.014589787698633"
2020,"Europe","0.5109151274309865","0.3756254892931586","-0.07268599813362699","0.8919307153848397"
2019,"Europe","0.483671663484378","0.38689949352838743","1.0970981713051489","0.9127022998021639"
2018,"Europe","0.4654470638794965","0.4199096928466397","-0.1309560898299796","0.9742221708222875"
2017,"Europe","0.39205213993104265","-1.6251876794046625","0.9911504688022599","1.014589787698633"
2016,"Europe","0.3735768577643095","0.4975640528423123","1.0315077230106577","1.0938329072611024"
2015,"Europe","0.30851192608122835","0.5691293326085716","1.186348018020475","1.0742047197034894"
2014,"Europe","0.8553808825298237","0.6648837362860487","-0.1041444138168134","1.0544561199132472"
2013,"Europe","0.5919899791108422","0.6973558773003512","0.9069808885113624","1.0544561199132472"
2012,"Europe","0.6809397191638307","0.6439861940447943","0.7761195649324064","0.9944693544709867"
2011,"Europe","0.22391939179643683","-1.2893877555920292","0.6836065571549804","0.9127022998021639"
2010,"Europe","0.8553808825298237","-1.1896688464944662","0.5705027286072326","0.849980009438812"
2009,"Europe","0.41047603236930463","0.6565820178007655","0.4549376119812369","0.7643967176991825"
2008,"Europe","0.11906051783645895","0.6933594475338095","0.37764048380427157","0.631583764212544"
